fear_greed_score,fear_greed_label,fg_timestamp,fg_date
47,Neutral,1777248000,2026-04-27
33,Fear,1777161600,2026-04-26
31,Fear,1777075200,2026-04-25
39,Fear,1776988800,2026-04-24
46,Fear,1776902400,2026-04-23
32,Fear,1776816000,2026-04-22
33,Fear,1776729600,2026-04-21
29,Fear,1776643200,2026-04-20
27,Fear,1776556800,2026-04-19
26,Fear,1776470400,2026-04-18
21,Extreme Fear,1776384000,2026-04-17
23,Extreme Fear,1776297600,2026-04-16
23,Extreme Fear,1776211200,2026-04-15
21,Extreme Fear,1776124800,2026-04-14
12,Extreme Fear,1776038400,2026-04-13
16,Extreme Fear,1775952000,2026-04-12
15,Extreme Fear,1775865600,2026-04-11
16,Extreme Fear,1775779200,2026-04-10
14,Extreme Fear,1775692800,2026-04-09
17,Extreme Fear,1775606400,2026-04-08
11,Extreme Fear,1775520000,2026-04-07
13,Extreme Fear,1775433600,2026-04-06
12,Extreme Fear,1775347200,2026-04-05
11,Extreme Fear,1775260800,2026-04-04
9,Extreme Fear,1775174400,2026-04-03
12,Extreme Fear,1775088000,2026-04-02
8,Extreme Fear,1775001600,2026-04-01
11,Extreme Fear,1774915200,2026-03-31
8,Extreme Fear,1774828800,2026-03-30
9,Extreme Fear,1774742400,2026-03-29
